"Top 5 values of DestPort","Timestamp per 30 minutes",Attacks
445,"17:30",2
445,"18:00",5
445,"18:30",7
445,"19:00","1,108"
445,"19:30","2,040"
445,"20:30",6
445,"21:30",78
445,"22:00","2,979"
445,"22:30",93
445,"23:30",4
445,"01:30",7
445,"02:00",2
445,"03:00",2
445,"03:30",45
445,"04:00","3,116"
445,"04:30",3
445,"05:30",668
445,"06:00",668
445,"06:30","2,306"
445,"07:00",2
445,"07:30",2
445,"08:00",5
445,"09:00",4
445,"09:30",7
445,"10:30","2,483"
445,"11:00",10
445,"12:00",2
445,"12:30",3
5060,"17:30",3
5060,"18:00",2
5060,"18:30",1
5060,"19:00",2
5060,"19:30",2
5060,"20:30",1
5060,"21:00",1
5060,"21:30",1
5060,"22:00",33
5060,"22:30",83
5060,"23:00",81
5060,"23:30",89
5060,"00:00",95
5060,"00:30",165
5060,"01:00",87
5060,"01:30",87
5060,"02:00",21
5060,"02:30",21
5060,"03:00",21
5060,"03:30",21
5060,"04:00",22
5060,"04:30",17
5060,"05:00",21
5060,"05:30",21
5060,"06:00",23
5060,"06:30",21
5060,"07:00",21
5060,"07:30",25
5060,"08:00",23
5060,"08:30",44
5060,"09:00",35
5060,"09:30",32
5060,"10:00",29
5060,"10:30",34
5060,"11:00",31
5060,"11:30",23
5060,"12:00",12
5060,"12:30",9
22,"18:00",6
22,"18:30",2
22,"19:00",498
22,"19:30",249
22,"20:00",1
22,"21:00",1
22,"21:30",4
22,"23:00",5
22,"23:30",2
22,"00:00",2
22,"00:30",12
22,"01:00",1
22,"01:30",12
22,"02:30",2
22,"03:00",1
22,"03:30",2
22,"04:00",1
22,"04:30",1
22,"05:00",4
22,"05:30",3
22,"06:00",39
22,"06:30",3
22,"07:00",1
22,"07:30",3
22,"08:00",4
22,"08:30",3
22,"09:00",2
22,"09:30",5
22,"10:00",250
22,"10:30",6
22,"11:00",5
22,"11:30",4
22,"12:00",4
22,"12:30",1
80,"17:30",1
80,"18:00",1
80,"18:30",2
80,"19:30",2
80,"20:00",1
80,"20:30",6
80,"21:30",1
80,"22:00",4
80,"22:30",5
80,"23:00",3
80,"00:00",45
80,"00:30",2
80,"01:00",1
80,"01:30",14
80,"02:00",3
80,"02:30",15
80,"03:00",11
80,"04:00",1
80,"04:30",3
80,"05:00",47
80,"05:30",2
80,"06:30",8
80,"07:30",1
80,"08:00",2
80,"08:30",1
80,"09:00",2
80,"09:30",1
80,"10:30",2
80,"11:00",18
80,"11:30",11
80,"12:00",44
80,"12:30",32
23,"17:30",5
23,"18:00",2
23,"18:30",2
23,"19:00",3
23,"19:30",2
23,"20:00",1
23,"20:30",5
23,"21:00",3
23,"21:30",4
23,"22:00",2
23,"22:30",1
23,"23:00",1
23,"23:30",3
23,"00:00",2
23,"00:30",4
23,"01:00",5
23,"01:30",1
23,"02:00",4
23,"02:30",7
23,"03:00",2
23,"03:30",2
23,"04:00",4
23,"04:30",2
23,"05:00",1
23,"05:30",5
23,"06:00",3
23,"06:30",28
23,"07:00",1
23,"07:30",3
23,"08:00",24
23,"08:30",2
23,"09:00",3
23,"09:30",2
23,"10:00",5
23,"10:30",2
23,"11:30",2
23,"12:00",4
23,"12:30",3
