"Timestamp per 30 minutes",Attacks,"Unique Source IPs"
"17:30",20,13
"18:00",41,15
"18:30",28,14
"19:00","3,610",10
"19:30","3,309",12
"20:00",18,9
"20:30",44,15
"21:00",48,8
"21:30",105,11
"22:00","3,036",11
"22:30",193,13
"23:00",126,17
"23:30",111,13
"00:00",162,12
"00:30",248,25
"01:00",111,14
"01:30",192,20
"02:00",39,16
"02:30",97,16
"03:00",47,13
"03:30",80,10
"04:00","3,168",14
"04:30",35,11
"05:00",88,13
"05:30",735,20
"06:00",925,14
"06:30","2,445",20
"07:00",71,10
"07:30",56,16
"08:00",106,15
"08:30",74,16
"09:00",59,14
"09:30",74,16
"10:00","1,307",18
"10:30","2,552",14
"11:00",96,11
"11:30",64,18
"12:00",95,19
